1,F,4.18781725889
1,M,4.13055181696
2,F,3.27840909091
2,M,3.17523809524
3,F,3.07352941177
3,M,2.99415204679
4,F,2.97647058824
4,M,2.48235294118
5,F,3.21296296297
5,M,2.88829787235
6,F,3.68217054264
6,M,3.90998766955
7,F,3.58823529412
7,M,3.26771653544
8,F,3.35714285715
8,M,2.775
9,F,2.1
9,M,2.71739130435
10,F,3.47014925374
10,M,3.55305039788
11,F,3.92348284961
11,M,3.71865443426
12,F,2.89285714286
12,M,2.25
13,F,3.64285714286
13,M,3.11267605634
14,F,3.75
14,M,3.496
15,F,3.2
15,M,2.34126984127
16,F,3.6090225564
16,M,3.8378870674
17,F,4.23333333334
17,M,3.81927710844
18,F,3.22222222223
18,M,3.36153846154
19,F,2.26966292135
19,M,2.54333333334
20,F,2.6
20,M,2.53103448276
21,F,3.59790209791
21,M,3.6308411215
22,F,3.44339622642
22,M,3.3125
23,F,2.89473684211
23,M,2.85046728972
24,F,3.07971014493
24,M,3.20781893005
25,F,3.45819397994
25,M,3.73568281939
26,F,3.5625
26,M,3.51470588236
27,F,2.94736842106
27,M,2.91304347827
28,F,4.13274336284
28,M,3.92424242425
29,F,4.07352941177
29,M,4.05970149254
30,F,3.875
30,M,3.58620689656
31,F,3.22222222223
31,M,3.0459770115
32,F,3.84532374101
32,M,3.96836982969
33,M,3.0
34,F,3.95336787565
34,M,3.86092150171
35,F,3.25
35,M,3.38235294118
36,F,4.02960526316
36,M,3.92307692308
37,F,4.33333333334
37,M,3.0
38,F,3.21428571429
38,M,2.42857142858
39,F,3.82700421941
39,M,3.51463963964
40,F,4.28571428572
40,M,3.625
41,F,3.95
41,M,3.96153846154
42,F,2.94444444445
42,M,2.85405405406
43,F,3.5
43,M,3.40425531915
44,F,2.81081081082
44,M,2.78467153285
45,F,3.4025974026
45,M,3.43333333334
46,F,3.24074074075
46,M,2.86206896552
47,F,4.0
47,M,4.13828571429
48,F,3.15923566879
48,M,2.84888888889
49,F,3.69230769231
49,M,3.78571428572
50,F,4.51331719129
50,M,4.51824817519
52,F,3.67938931298
52,M,3.62333333334
53,F,5.0
53,M,4.66666666667
54,F,3.0
54,M,2.3076923077
55,F,3.0
55,M,3.125
56,F,1.0
56,M,2.125
57,F,3.57142857143
57,M,3.28070175439
58,F,4.12562814071
58,M,4.07284768212
59,F,1.0
59,M,3.0
60,F,3.29245283019
60,M,3.17928286853
61,F,3.15384615385
61,M,2.9024390244
62,F,3.74719101124
62,M,3.67217630854
63,F,2.8
63,M,2.86458333334
64,F,2.41025641026
64,M,2.125
65,F,2.16666666667
65,M,2.03539823009
66,F,1.75
66,M,1.66292134832
67,F,2.0
67,M,3.66666666667
68,F,3.52
68,M,3.4
69,F,3.56521739131
69,M,3.68
